freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.428e+02,7.614e+01,1.465e+01,6.336e+02
1.6,4.118e+02,4.171e+02,3.630e+01,8.652e+02
3.2,1.174e+02,4.442e+02,3.866e+01,6.002e+02
4.7,4.634e+02,4.846e+02,4.094e+01,9.890e+02
6.3,1.344e+03,5.197e+02,3.974e+01,1.904e+03
7.9,2.085e+03,5.181e+02,3.946e+01,2.642e+03
9.5,2.976e+03,5.924e+02,3.929e+01,3.608e+03
11.1,3.883e+03,6.165e+02,3.774e+01,4.537e+03
12.6,5.033e+03,6.031e+02,3.855e+01,5.675e+03
14.2,6.598e+03,5.521e+02,3.915e+01,7.189e+03
15.8,8.389e+03,5.292e+02,3.820e+01,8.957e+03
17.4,1.051e+04,5.136e+02,3.864e+01,1.106e+04
19.0,1.314e+04,5.189e+02,3.783e+01,1.370e+04
20.5,1.589e+04,5.674e+02,4.110e+01,1.650e+04
22.1,1.769e+04,5.632e+02,4.221e+01,1.830e+04
23.7,1.962e+04,6.206e+02,3.977e+01,2.028e+04
25.3,2.203e+04,6.605e+02,4.313e+01,2.273e+04
26.9,2.336e+04,6.533e+02,4.809e+01,2.406e+04
28.4,2.298e+04,6.413e+02,5.019e+01,2.367e+04
30.0,2.304e+04,5.775e+02,5.525e+01,2.367e+04
31.6,2.555e+04,5.751e+02,5.602e+01,2.618e+04
33.2,2.878e+04,5.543e+02,5.428e+01,2.939e+04
34.8,3.280e+04,5.694e+02,5.690e+01,3.343e+04
36.3,3.712e+04,6.159e+02,7.376e+01,3.781e+04
37.9,4.216e+04,5.479e+02,9.911e+01,4.280e+04
39.5,4.727e+04,5.685e+02,1.233e+02,4.796e+04
41.1,5.384e+04,5.903e+02,1.611e+02,5.459e+04
42.7,6.133e+04,5.261e+02,1.697e+02,6.203e+04
44.3,6.777e+04,5.177e+02,1.656e+02,6.845e+04
45.8,7.779e+04,5.816e+02,1.737e+02,7.854e+04
47.4,8.952e+04,6.347e+02,2.014e+02,9.036e+04
49.0,9.876e+04,6.528e+02,2.476e+02,9.966e+04
50.6,1.072e+05,7.137e+02,2.502e+02,1.081e+05
52.2,1.252e+05,7.148e+02,3.043e+02,1.262e+05
53.7,1.534e+05,6.200e+02,3.219e+02,1.543e+05
55.3,1.746e+05,5.855e+02,3.493e+02,1.755e+05
56.9,1.838e+05,6.186e+02,3.967e+02,1.848e+05
58.5,1.991e+05,7.013e+02,4.191e+02,2.003e+05
60.1,2.325e+05,6.698e+02,7.151e+02,2.338e+05
61.6,2.817e+05,7.907e+02,1.810e+03,2.843e+05
63.2,3.472e+05,1.014e+03,3.898e+03,3.522e+05
64.8,4.307e+05,1.374e+03,7.094e+03,4.391e+05
66.4,5.162e+05,1.580e+03,1.166e+04,5.294e+05
68.0,5.683e+05,1.988e+03,1.726e+04,5.875e+05
69.5,6.166e+05,2.595e+03,2.476e+04,6.440e+05
71.1,6.513e+05,3.180e+03,3.006e+04,6.846e+05
72.7,7.067e+05,3.504e+03,3.291e+04,7.432e+05
74.3,8.390e+05,3.511e+03,3.383e+04,8.763e+05
75.9,1.131e+06,3.962e+03,3.269e+04,1.168e+06
77.4,1.711e+06,5.409e+03,3.108e+04,1.748e+06
79.0,2.501e+06,7.785e+03,2.941e+04,2.538e+06
80.6,3.077e+06,1.087e+04,2.697e+04,3.115e+06
82.2,2.825e+06,1.415e+04,2.086e+04,2.860e+06
83.8,2.363e+06,1.532e+04,1.606e+04,2.394e+06
85.3,1.954e+06,1.344e+04,1.384e+04,1.981e+06
86.9,1.413e+06,1.042e+04,1.102e+04,1.434e+06
88.5,1.034e+06,8.786e+03,8.428e+03,1.051e+06
90.1,7.975e+05,7.939e+03,6.348e+03,8.118e+05
91.7,6.022e+05,7.344e+03,4.324e+03,6.138e+05
93.2,4.644e+05,8.996e+03,2.708e+03,4.761e+05
94.8,3.848e+05,1.185e+04,1.892e+03,3.985e+05
96.4,3.325e+05,1.479e+04,1.803e+03,3.490e+05
98.0,2.836e+05,1.421e+04,1.662e+03,2.995e+05
99.6,2.350e+05,1.148e+04,1.216e+03,2.477e+05
101.1,2.289e+05,1.652e+04,1.203e+03,2.466e+05
102.7,2.886e+05,2.838e+04,1.571e+03,3.186e+05
104.3,3.467e+05,2.861e+04,1.595e+03,3.769e+05
105.9,3.775e+05,1.274e+04,1.303e+03,3.915e+05
107.5,4.331e+05,6.090e+03,1.045e+03,4.402e+05
109.0,4.691e+05,7.697e+03,9.298e+02,4.777e+05
110.6,4.750e+05,8.964e+03,8.803e+02,4.848e+05
112.2,4.731e+05,1.024e+04,7.534e+02,4.841e+05
113.8,4.694e+05,1.091e+04,5.091e+02,4.808e+05
115.4,4.662e+05,1.105e+04,3.388e+02,4.776e+05
117.0,4.580e+05,1.209e+04,2.775e+02,4.704e+05
118.5,4.378e+05,1.260e+04,3.019e+02,4.507e+05
120.1,4.115e+05,1.202e+04,3.295e+02,4.239e+05
121.7,3.849e+05,1.054e+04,3.323e+02,3.958e+05
123.3,3.572e+05,7.879e+03,3.646e+02,3.655e+05
124.9,3.351e+05,8.291e+03,4.564e+02,3.439e+05
126.4,3.135e+05,8.318e+03,5.510e+02,3.224e+05
128.0,2.906e+05,6.574e+03,6.790e+02,2.979e+05
129.6,2.715e+05,5.539e+03,7.905e+02,2.778e+05
131.2,2.581e+05,4.698e+03,8.901e+02,2.637e+05
132.8,1.526e+05,2.956e+03,6.652e+02,1.562e+05
134.3,1.955e+04,1.399e+03,1.846e+02,2.113e+04
135.9,3.902e+03,1.901e+03,1.281e+02,5.931e+03
137.5,4.613e+03,7.498e+03,2.159e+02,1.233e+04
139.1,6.746e+03,1.900e+04,4.408e+02,2.619e+04
140.7,8.537e+03,2.779e+04,6.052e+02,3.693e+04
142.2,8.205e+03,2.136e+04,5.308e+02,3.009e+04
143.8,6.373e+03,1.002e+04,3.418e+02,1.673e+04
145.4,6.438e+03,3.705e+03,1.959e+02,1.034e+04
147.0,7.747e+03,1.584e+03,1.447e+02,9.475e+03
148.6,1.058e+04,1.067e+03,1.380e+02,1.179e+04
150.1,1.376e+04,1.064e+03,1.347e+02,1.496e+04
151.7,1.623e+04,1.581e+03,2.445e+02,1.805e+04
153.3,1.959e+04,6.433e+03,1.562e+03,2.758e+04
154.9,2.308e+04,6.276e+03,1.702e+03,3.105e+04
156.5,2.695e+04,1.635e+03,5.955e+02,2.918e+04
158.0,3.263e+04,8.952e+02,5.511e+02,3.408e+04
159.6,3.735e+04,8.616e+02,7.298e+02,3.894e+04
161.2,4.233e+04,8.168e+02,8.934e+02,4.404e+04
162.8,4.731e+04,8.536e+02,1.115e+03,4.927e+04
164.4,4.646e+04,9.936e+02,1.511e+03,4.896e+04
165.9,3.794e+04,1.385e+03,1.952e+03,4.128e+04
167.5,3.193e+04,3.185e+03,2.527e+03,3.764e+04
169.1,3.477e+04,2.126e+03,2.250e+03,3.914e+04
170.7,3.174e+04,7.707e+02,1.722e+03,3.424e+04
172.3,2.839e+04,6.203e+02,1.623e+03,3.064e+04
173.8,2.672e+04,6.284e+02,1.464e+03,2.881e+04
175.4,2.586e+04,6.873e+02,1.478e+03,2.802e+04
177.0,2.985e+04,7.233e+02,1.439e+03,3.201e+04
178.6,3.127e+04,6.865e+02,1.435e+03,3.340e+04
180.2,2.730e+04,6.429e+02,1.504e+03,2.945e+04
181.7,2.467e+04,6.590e+02,1.573e+03,2.690e+04
183.3,2.338e+04,6.399e+02,1.555e+03,2.558e+04
184.9,2.291e+04,6.944e+02,1.492e+03,2.510e+04
186.5,2.053e+04,7.374e+02,1.633e+03,2.290e+04
188.1,2.060e+04,7.618e+02,1.843e+03,2.320e+04
189.6,2.340e+04,7.628e+02,1.958e+03,2.612e+04
191.2,2.346e+04,7.369e+02,2.122e+03,2.632e+04
192.8,2.190e+04,7.324e+02,2.197e+03,2.483e+04
194.4,1.937e+04,7.993e+02,2.208e+03,2.238e+04
196.0,1.902e+04,7.500e+02,2.314e+03,2.209e+04
197.6,1.674e+04,8.256e+02,2.491e+03,2.006e+04
199.1,1.231e+04,8.565e+02,2.649e+03,1.581e+04
