freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.401e+01,6.498e+02,6.583e+01,7.297e+02
1.6,2.791e+01,3.957e+02,5.705e+01,4.806e+02
3.2,2.868e+01,6.846e+01,3.187e+01,1.290e+02
4.8,2.771e+01,4.371e+02,3.231e+01,4.971e+02
6.3,2.769e+01,1.327e+03,3.592e+01,1.390e+03
7.9,2.679e+01,2.132e+03,3.426e+01,2.193e+03
9.5,2.534e+01,3.074e+03,3.680e+01,3.136e+03
11.1,2.812e+01,4.265e+03,3.761e+01,4.330e+03
12.7,3.499e+01,5.483e+03,3.648e+01,5.555e+03
14.3,3.888e+01,6.823e+03,4.030e+01,6.902e+03
15.8,3.349e+01,8.718e+03,3.822e+01,8.790e+03
17.4,3.397e+01,1.063e+04,3.572e+01,1.070e+04
19.0,3.429e+01,1.329e+04,3.772e+01,1.336e+04
20.6,5.008e+01,1.660e+04,3.904e+01,1.669e+04
22.2,1.156e+02,2.037e+04,3.546e+01,2.052e+04
23.8,2.672e+02,2.488e+04,3.473e+01,2.518e+04
25.3,4.720e+02,2.932e+04,4.306e+01,2.983e+04
26.9,6.457e+02,3.222e+04,5.275e+01,3.292e+04
28.5,5.852e+02,3.436e+04,5.510e+01,3.500e+04
30.1,4.822e+02,3.712e+04,4.640e+01,3.765e+04
31.7,3.823e+02,3.977e+04,4.350e+01,4.019e+04
33.3,2.708e+02,4.014e+04,5.163e+01,4.046e+04
34.8,1.539e+02,4.102e+04,6.771e+01,4.124e+04
36.4,7.653e+01,4.486e+04,1.112e+02,4.504e+04
38.0,5.600e+01,5.057e+04,1.645e+02,5.079e+04
39.6,9.075e+01,5.770e+04,2.699e+02,5.806e+04
41.2,2.017e+02,7.105e+04,4.969e+02,7.175e+04
42.8,5.550e+02,8.684e+04,7.891e+02,8.819e+04
44.3,8.452e+02,9.326e+04,1.137e+03,9.525e+04
45.9,9.085e+02,1.069e+05,2.252e+03,1.100e+05
47.5,9.933e+02,1.277e+05,7.078e+03,1.358e+05
49.1,8.109e+02,1.352e+05,2.050e+04,1.565e+05
50.7,5.378e+02,1.389e+05,2.866e+04,1.681e+05
52.3,4.951e+02,1.612e+05,2.661e+04,1.883e+05
53.8,5.096e+02,1.949e+05,2.655e+04,2.220e+05
55.4,5.360e+02,2.210e+05,3.267e+04,2.542e+05
57.0,5.139e+02,2.356e+05,3.619e+04,2.723e+05
58.6,4.573e+02,2.603e+05,3.779e+04,2.985e+05
60.2,6.079e+02,3.053e+05,4.116e+04,3.470e+05
61.8,1.244e+03,3.724e+05,5.153e+04,4.252e+05
63.3,3.271e+03,4.508e+05,6.928e+04,5.234e+05
64.9,7.183e+03,5.238e+05,9.081e+04,6.218e+05
66.5,1.146e+04,5.949e+05,1.117e+05,7.181e+05
68.1,1.482e+04,6.736e+05,1.288e+05,8.173e+05
69.7,2.346e+04,9.262e+05,1.722e+05,1.122e+06
71.3,4.447e+04,1.500e+06,2.484e+05,1.792e+06
72.8,9.299e+04,2.528e+06,3.510e+05,2.971e+06
74.4,1.396e+05,3.435e+06,4.045e+05,3.979e+06
76.0,1.311e+05,3.626e+06,3.770e+05,4.135e+06
77.6,9.163e+04,3.284e+06,3.109e+05,3.687e+06
79.2,5.279e+04,2.764e+06,2.485e+05,3.066e+06
80.8,3.868e+04,2.301e+06,1.950e+05,2.535e+06
82.3,4.009e+04,1.970e+06,1.573e+05,2.167e+06
83.9,3.129e+04,1.843e+06,1.457e+05,2.020e+06
85.5,2.045e+04,1.698e+06,1.340e+05,1.853e+06
87.1,1.301e+04,1.517e+06,1.163e+05,1.646e+06
88.7,8.475e+03,1.351e+06,9.867e+04,1.459e+06
90.3,6.138e+03,1.214e+06,8.384e+04,1.304e+06
91.8,5.471e+03,1.095e+06,7.173e+04,1.172e+06
93.4,4.194e+03,9.866e+05,6.155e+04,1.052e+06
95.0,3.193e+03,8.935e+05,5.316e+04,9.498e+05
96.6,2.753e+03,8.165e+05,4.673e+04,8.659e+05
98.2,3.057e+03,7.468e+05,4.098e+04,7.909e+05
99.8,3.496e+03,6.804e+05,3.465e+04,7.186e+05
101.3,3.620e+03,6.156e+05,2.846e+04,6.476e+05
102.9,3.591e+03,5.563e+05,2.291e+04,5.828e+05
104.5,3.455e+03,4.762e+05,1.769e+04,4.973e+05
106.1,3.219e+03,4.153e+05,1.386e+04,4.324e+05
107.7,3.134e+03,3.942e+05,1.193e+04,4.093e+05
109.3,3.300e+03,3.716e+05,1.031e+04,3.852e+05
110.8,3.467e+03,3.508e+05,8.759e+03,3.630e+05
112.4,3.293e+03,3.332e+05,7.128e+03,3.436e+05
114.0,2.468e+03,3.201e+05,5.834e+03,3.284e+05
115.6,1.402e+03,3.123e+05,4.738e+03,3.185e+05
117.2,7.637e+02,3.095e+05,3.913e+03,3.142e+05
118.8,5.069e+02,3.070e+05,3.182e+03,3.106e+05
120.3,4.202e+02,3.026e+05,2.599e+03,3.056e+05
121.9,5.544e+02,2.968e+05,2.040e+03,2.994e+05
123.5,9.869e+02,2.885e+05,1.538e+03,2.910e+05
125.1,1.633e+03,2.817e+05,1.135e+03,2.845e+05
126.7,2.323e+03,2.754e+05,7.497e+02,2.785e+05
128.3,2.911e+03,2.673e+05,4.558e+02,2.706e+05
129.8,3.382e+03,2.581e+05,2.587e+02,2.617e+05
131.4,3.601e+03,2.400e+05,1.638e+02,2.438e+05
133.0,2.477e+03,1.250e+05,1.374e+02,1.276e+05
134.6,8.241e+02,1.310e+04,1.107e+02,1.403e+04
136.2,4.936e+02,3.351e+03,9.512e+01,3.940e+03
137.8,7.080e+02,3.066e+03,1.013e+02,3.875e+03
139.3,1.229e+03,2.793e+03,1.165e+02,4.139e+03
140.9,2.171e+03,2.722e+03,1.647e+02,5.058e+03
142.5,3.192e+03,2.882e+03,2.324e+02,6.306e+03
144.1,3.405e+03,2.691e+03,3.542e+02,6.450e+03
145.7,4.696e+03,2.456e+03,6.521e+02,7.804e+03
147.3,5.345e+03,2.523e+03,9.371e+02,8.805e+03
148.8,7.907e+03,5.551e+03,2.005e+03,1.546e+04
150.4,9.013e+03,1.300e+04,2.991e+03,2.500e+04
152.0,8.849e+03,2.495e+04,1.967e+03,3.576e+04
153.6,1.057e+04,3.293e+04,1.786e+03,4.529e+04
155.2,1.211e+04,2.643e+04,1.469e+03,4.001e+04
156.8,1.258e+04,2.014e+04,1.141e+03,3.387e+04
158.3,1.135e+04,1.076e+04,8.582e+02,2.296e+04
159.9,7.554e+03,3.583e+03,7.287e+02,1.187e+04
